year,country,name,prize,,,,,,,,
1964,United Kingdom,Dorothy Crowfoot Hodgkin,Chemistry,,,,,,,,
1962,United Kingdom,John C. Kendrew,Chemistry,,,,,,,,
1962,United Kingdom,Max F. Perutz,Chemistry,,,,,,,,
1958,United Kingdom,Frederick Sanger,Chemistry,,,,,,,,
1957,United Kingdom,Lord Todd ,Chemistry,,,,,,,,
1956,United Kingdom,Sir Cyril Hinshelwood,Chemistry,,,,,,,,
1952,United Kingdom,Archer J.P. Martin,Chemistry,,,,,,,,
1952,United Kingdom,Richard L.M. Synge,Chemistry,,,,,,,,
1947,United Kingdom,Sir Robert Robinson,Chemistry,,,,,,,,
1937,United Kingdom,Norman Haworth,Chemistry,,,,,,,,
1929,United Kingdom,Arthur Harden,Chemistry,,,,,,,,
1922,United Kingdom,Francis W. Aston,Chemistry,,,,,,,,
1921,United Kingdom,Frederick Soddy,Chemistry,,,,,,,,
1908,United Kingdom,Ernest Rutherford,Chemistry,,,,,,,,
1904,United Kingdom,Sir William Ramsay,Chemistry,,,,,,,,
2015,United Kingdom,Angus Deaton,Economics,,,,,,,,
2003,United Kingdom,Clive W.J. Granger,Economics,,,,,,,,
1996,United Kingdom,James A. Mirrlees,Economics,,,,,,,,
1991,United Kingdom,Ronald H. Coase,Economics,,,,,,,,
1984,United Kingdom,Richard Stone,Economics,,,,,,,,
1979,United Kingdom,Sir Arthur Lewis,Economics,,,,,,,,
1977,United Kingdom,James E. Meade,Economics,,,,,,,,
1974,United Kingdom,Friedrich August von Hayek,Economics,,,,,,,,
1972,United Kingdom,John R. Hicks,Economics,,,,,,,,
2007,United Kingdom,Doris Lessing,Literature,,,,,,,,
2005,United Kingdom,Harold Pinter,Literature,,,,,,,,
2001,United Kingdom,V.S. Naipaul,Literature,,,,,,,,
1983,United Kingdom,William Golding,Literature,,,,,,,,
1981,United Kingdom,Elias Canetti,Literature,,,,,,,,
1953,United Kingdom,Winston Churchill,Literature,,,,,,,,
1950,United Kingdom,Bertrand Russell,Literature,,,,,,,,
1948,United Kingdom,T.S. Eliot,Literature,,,,,,,,
1932,United Kingdom,John Galsworthy,Literature,,,,,,,,
1925,United Kingdom,George Bernard Shaw,Literature,,,,,,,,
1907,United Kingdom,Rudyard Kipling,Literature,,,,,,,,
2012,United Kingdom,Sir John B. Gurdon,Medicine,,,,,,,,
2010,United Kingdom,Robert G. Edwards,Medicine,,,,,,,,
2007,United Kingdom,Sir Martin J. Evans,Medicine,,,,,,,,
2003,United Kingdom,Sir Peter Mansfield,Medicine,,,,,,,,
2002,United Kingdom,Sydney Brenner,Medicine,,,,,,,,
2002,United Kingdom,John E. Sulston,Medicine,,,,,,,,
2001,United Kingdom,Tim Hunt,Medicine,,,,,,,,
2001,United Kingdom,Sir Paul Nurse,Medicine,,,,,,,,
1993,United Kingdom,Richard J. Roberts,Medicine,,,,,,,,
1988,United Kingdom,Sir James W. Black,Medicine,,,,,,,,
1982,United Kingdom,John R. Vane,Medicine,,,,,,,,
1979,United Kingdom,Godfrey N. Hounsfield,Medicine,,,,,,,,
1973,United Kingdom,Nikolaas Tinbergen,Medicine,,,,,,,,
1972,United Kingdom,Rodney R. Porter,Medicine,,,,,,,,
1970,United Kingdom,Sir Bernard Katz,Medicine,,,,,,,,
1963,United Kingdom,Andrew F. Huxley,Medicine,,,,,,,,
1963,United Kingdom,Alan L. Hodgkin,Medicine,,,,,,,,
1962,United Kingdom,Maurice Wilkins,Medicine,,,,,,,,
1962,United Kingdom,Francis Crick,Medicine,,,,,,,,
1960,United Kingdom,Peter Medawar,Medicine,,,,,,,,
1953,United Kingdom,Hans Krebs,Medicine,,,,,,,,
1945,United Kingdom,Sir Alexander Fleming,Medicine,,,,,,,,
1945,United Kingdom,Ernst B. Chain,Medicine,,,,,,,,
1936,United Kingdom,Sir Henry Dale,Medicine,,,,,,,,
1932,United Kingdom,Edgar Adrian,Medicine,,,,,,,,
1932,United Kingdom,Sir Charles Sherrington,Medicine,,,,,,,,
1929,United Kingdom,Sir Frederick Hopkins,Medicine,,,,,,,,
1922,United Kingdom,Archibald V. Hill,Medicine,,,,,,,,
1902,United Kingdom,Ronald Ross,Medicine,,,,,,,,
1998,United Kingdom,David Trimble,Peace,,,,,,,,
1998,United Kingdom,Jody Williams,Peace,,,,,,,,
1995,United Kingdom,Pugwash Conferences on Science and World Affairs ,Peace,,,,,,,,
1977,United Kingdom,Mairead Corrigan,Peace,,,,,,,,
1976,United Kingdom,Betty Williams,Peace,,,,,,,,
1976,United Kingdom,Andrei Sakharov,Peace,,,,,,,,
1959,United Kingdom,Georges Pire,Peace,,,,,,,,
1949,United Kingdom,Friends Service Council ,Peace,,,,,,,,
1947,United Kingdom,American Friends Service Committee ,Peace,,,,,,,,
1937,United Kingdom,Carlos Saavedra Lamas,Peace,,,,,,,,
1934,United Kingdom,Sir Norman Angell,Peace,,,,,,,,
1933,United Kingdom,Jane Addams,Peace,,,,,,,,
1925,United Kingdom,Charles G. Dawes,Peace,,,,,,,,
1903,United Kingdom,—lie Ducommun,Peace,,,,,,,,
2013,United Kingdom,Peter W. Higgs,Physics,,,,,,,,
2003,United Kingdom,Anthony J. Leggett,Physics,,,,,,,,
1977,United Kingdom,Sir Nevill F. Mott,Physics,,,,,,,,
1974,United Kingdom,Antony Hewish,Physics,,,,,,,,
1974,United Kingdom,Martin Ryle,Physics,,,,,,,,
1973,United Kingdom,Brian D. Josephson,Physics,,,,,,,,
1971,United Kingdom,Dennis Gabor,Physics,,,,,,,,
1954,United Kingdom,Max Born,Physics,,,,,,,,
1951,United Kingdom,John Cockcroft,Physics,,,,,,,,
1950,United Kingdom,Cecil Powell,Physics,,,,,,,,
1948,United Kingdom,Patrick M.S. Blackett,Physics,,,,,,,,
1947,United Kingdom,Edward V. Appleton,Physics,,,,,,,,
1937,United Kingdom,George Paget Thomson,Physics,,,,,,,,
1935,United Kingdom,James Chadwick,Physics,,,,,,,,
1933,United Kingdom,Paul A.M. Dirac,Physics,,,,,,,,
1928,United Kingdom,Owen Willans Richardson,Physics,,,,,,,,
1927,United Kingdom,C.T.R. Wilson,Physics,,,,,,,,
1917,United Kingdom,Charles Glover Barkla,Physics,,,,,,,,
1915,United Kingdom,William Bragg,Physics,,,,,,,,
1915,United Kingdom,Lawrence Bragg,Physics,,,,,,,,
1906,United Kingdom,J.J. Thomson,Physics,,,,,,,,
1904,United Kingdom,Lord Rayleigh ,Physics,,,,,,,,
2015,United States,Paul Modrich,Chemistry,,,,,,,,
2014,United States,Eric Betzig Eric Betzig,Chemistry,,,,,,,,
2014,United States,William E. Moerner,Chemistry,,,,,,,,
2013,United States,Michael Levitt,Chemistry,,,,,,,,
2012,United States,Robert J. Lefkowitz,Chemistry,,,,,,,,
2012,United States,Brian K. Kobilka,Chemistry,,,,,,,,
2010,United States,Richard F. Heck,Chemistry,,,,,,,,
2009,United States,Venkatraman Ramakrishnan,Chemistry,,,,,,,,
2009,United States,Thomas A. Steitz,Chemistry,,,,,,,,
2008,United States,Martin Chalfie,Chemistry,,,,,,,,
2008,United States,Osamu Shimomura,Chemistry,,,,,,,,
2008,United States,Roger Y. Tsien,Chemistry,,,,,,,,
2006,United States,Roger D. Kornberg,Chemistry,,,,,,,,
2005,United States,Robert H. Grubbs,Chemistry,,,,,,,,
2005,United States,Richard R. Schrock,Chemistry,,,,,,,,
2004,United States,Irwin Rose,Chemistry,,,,,,,,
2003,United States,Peter Agre,Chemistry,,,,,,,,
2003,United States,Roderick MacKinnon,Chemistry,,,,,,,,
2002,United States,John B. Fenn,Chemistry,,,,,,,,
2001,United States,K. Barry Sharpless,Chemistry,,,,,,,,
2001,United States,William S. Knowles,Chemistry,,,,,,,,
2000,United States,Alan Heeger,Chemistry,,,,,,,,
2000,United States,Alan G. MacDiarmid,Chemistry,,,,,,,,
1998,United States,Walter Kohn,Chemistry,,,,,,,,
1997,United States,Paul D. Boyer,Chemistry,,,,,,,,
1996,United States,Robert F. Curl Jr.,Chemistry,,,,,,,,
1996,United States,Richard E. Smalley,Chemistry,,,,,,,,
1995,United States,Mario J. Molina,Chemistry,,,,,,,,
1995,United States,F. Sherwood Rowland,Chemistry,,,,,,,,
1994,United States,George A. Olah,Chemistry,,,,,,,,
1993,United States,Kary B. Mullis,Chemistry,,,,,,,,
1992,United States,Rudolph A. Marcus,Chemistry,,,,,,,,
1990,United States,Elias James Corey,Chemistry,,,,,,,,
1989,United States,Thomas R. Cech,Chemistry,,,,,,,,
1987,United States,Charles J. Pedersen,Chemistry,,,,,,,,
1987,United States,Donald J. Cram,Chemistry,,,,,,,,
1986,United States,Dudley R. Herschbach,Chemistry,,,,,,,,
1986,United States,Yuan T. Lee,Chemistry,,,,,,,,
1985,United States,Herbert A. Hauptman,Chemistry,,,,,,,,
1985,United States,Jerome Karle,Chemistry,,,,,,,,
1984,United States,Bruce Merrifield,Chemistry,,,,,,,,
1983,United States,Henry Taube,Chemistry,,,,,,,,
1981,United States,Roald Hoffmann,Chemistry,,,,,,,,
1980,United States,Walter Gilbert,Chemistry,,,,,,,,
1980,United States,Paul Berg,Chemistry,,,,,,,,
1979,United States,Herbert C. Brown,Chemistry,,,,,,,,
1976,United States,William Lipscomb,Chemistry,,,,,,,,
1974,United States,Paul J. Flory,Chemistry,,,,,,,,
1972,United States,Christian Anfinsen,Chemistry,,,,,,,,
1972,United States,Stanford Moore,Chemistry,,,,,,,,
1972,United States,William H. Stein,Chemistry,,,,,,,,
1968,United States,Lars Onsager,Chemistry,,,,,,,,
1966,United States,Robert S. Mulliken,Chemistry,,,,,,,,
1965,United States,Robert B. Woodward,Chemistry,,,,,,,,
1961,United States,Melvin Calvin,Chemistry,,,,,,,,
1960,United States,Willard F. Libby,Chemistry,,,,,,,,
1955,United States,Vincent du Vigneaud,Chemistry,,,,,,,,
1954,United States,Linus Pauling,Chemistry,,,,,,,,
1951,United States,Edwin M. McMillan,Chemistry,,,,,,,,
1951,United States,Glenn T. Seaborg,Chemistry,,,,,,,,
1949,United States,William F. Giauque,Chemistry,,,,,,,,
1946,United States,James B. Sumner,Chemistry,,,,,,,,
1946,United States,John H. Northrop,Chemistry,,,,,,,,
1946,United States,Wendell M. Stanley,Chemistry,,,,,,,,
1934,United States,Harold C. Urey,Chemistry,,,,,,,,
1932,United States,Irving Langmuir,Chemistry,,,,,,,,
1914,United States,Theodore W. Richards,Chemistry,,,,,,,,
2013,United States,Eugene F. Fama,Economics,,,,,,,,
2013,United States,Lars Peter Hansen,Economics,,,,,,,,
2013,United States,Robert J. Shiller,Economics,,,,,,,,
2012,United States,Alvin E. Roth,Economics,,,,,,,,
2012,United States,Lloyd S. Shapley,Economics,,,,,,,,
2011,United States,Thomas J. Sargent,Economics,,,,,,,,
2011,United States,Christopher A. Sims,Economics,,,,,,,,
2010,United States,Peter A. Diamond,Economics,,,,,,,,
2010,United States,Dale T. Mortensen,Economics,,,,,,,,
2009,United States,Elinor Ostrom,Economics,,,,,,,,
2009,United States,Oliver E. Williamson,Economics,,,,,,,,
2008,United States,Paul Krugman Paul Krugman,Economics,,,,,,,,
2007,United States,Eric S. Maskin,Economics,,,,,,,,
2007,United States,Roger B. Myerson,Economics,,,,,,,,
2006,United States,Edmund S. Phelps,Economics,,,,,,,,
2005,United States,Thomas C. Schelling,Economics,,,,,,,,
2004,United States,Edward C. Prescott,Economics,,,,,,,,
2003,United States,Robert F. Engle III,Economics,,,,,,,,
2002,United States,Vernon L. Smith,Economics,,,,,,,,
2002,United States,Daniel Kahneman,Economics,,,,,,,,
2001,United States,Joseph E. Stiglitz,Economics,,,,,,,,
2001,United States,A. Michael Spence,Economics,,,,,,,,
2001,United States,George A. Akerlof,Economics,,,,,,,,
2000,United States,Daniel L. McFadden,Economics,,,,,,,,
2000,United States,James J. Heckman,Economics,,,,,,,,
1997,United States,Robert C. Merton,Economics,,,,,,,,
1997,United States,Myron S. Scholes,Economics,,,,,,,,
1996,United States,William Vickrey,Economics,,,,,,,,
1995,United States,Robert E. Lucas Jr.,Economics,,,,,,,,
1994,United States,John F. Nash Jr.,Economics,,,,,,,,
1994,United States,John C. Harsanyi,Economics,,,,,,,,
1993,United States,Robert W. Fogel,Economics,,,,,,,,
1993,United States,Douglass C. North,Economics,,,,,,,,
1992,United States,Gary S. Becker,Economics,,,,,,,,
1990,United States,Harry M. Markowitz,Economics,,,,,,,,
1990,United States,William F. Sharpe,Economics,,,,,,,,
1990,United States,Merton H. Miller,Economics,,,,,,,,
1987,United States,Robert M. Solow,Economics,,,,,,,,
1986,United States,James M. Buchanan Jr.,Economics,,,,,,,,
1985,United States,Franco Modigliani,Economics,,,,,,,,
1982,United States,George J. Stigler,Economics,,,,,,,,
1981,United States,James Tobin,Economics,,,,,,,,
1980,United States,Lawrence R. Klein,Economics,,,,,,,,
1979,United States,Theodore W. Schultz,Economics,,,,,,,,
1978,United States,Herbert A. Simon,Economics,,,,,,,,
1976,United States,Milton Friedman,Economics,,,,,,,,
1975,United States,Tjalling C. Koopmans,Economics,,,,,,,,
1973,United States,Wassily Leontief,Economics,,,,,,,,
1972,United States,Kenneth J. Arrow,Economics,,,,,,,,
1971,United States,Simon Kuznets,Economics,,,,,,,,
1970,United States,Paul A. Samuelson,Economics,,,,,,,,
1993,United States,Toni Morrison,Literature,,,,,,,,
1987,United States,Joseph Brodsky,Literature,,,,,,,,
1978,United States,Isaac Bashevis Singer,Literature,,,,,,,,
1976,United States,Saul Bellow,Literature,,,,,,,,
1962,United States,John Steinbeck,Literature,,,,,,,,
1954,United States,Ernest Hemingway,Literature,,,,,,,,
1949,United States,William Faulkner,Literature,,,,,,,,
1938,United States,Pearl Buck,Literature,,,,,,,,
1936,United States,Eugene O'Neill,Literature,,,,,,,,
1930,United States,Sinclair Lewis,Literature,,,,,,,,
2014,United States,John O'Keefe,Medicine,,,,,,,,
2013,United States,Randy W. Schekman,Medicine,,,,,,,,
2013,United States,James E. Rothman,Medicine,,,,,,,,
2011,United States,Bruce A. Beutler,Medicine,,,,,,,,
2009,United States,Carol W. Greider,Medicine,,,,,,,,
2007,United States,Oliver Smithies,Medicine,,,,,,,,
2007,United States,Mario R. Capecchi,Medicine,,,,,,,,
2006,United States,Andrew Z. Fire,Medicine,,,,,,,,
2006,United States,Craig C. Mello,Medicine,,,,,,,,
2004,United States,Richard Axel,Medicine,,,,,,,,
2004,United States,Linda B. Buck,Medicine,,,,,,,,
2003,United States,Paul C. Lauterbur,Medicine,,,,,,,,
2002,United States,H. Robert Horvitz,Medicine,,,,,,,,
2001,United States,Leland H. Hartwell,Medicine,,,,,,,,
2000,United States,Eric R. Kandel,Medicine,,,,,,,,
2000,United States,Paul Greengard,Medicine,,,,,,,,
1999,United States,G»nter Blobel,Medicine,,,,,,,,
1998,United States,Robert F. Furchgott,Medicine,,,,,,,,
1998,United States,Louis J. Ignarro,Medicine,,,,,,,,
1998,United States,Ferid Murad,Medicine,,,,,,,,
1997,United States,Stanley B. Prusiner,Medicine,,,,,,,,
1995,United States,Edward B. Lewis,Medicine,,,,,,,,
1995,United States,Eric F. Wieschaus,Medicine,,,,,,,,
1994,United States,Martin Rodbell,Medicine,,,,,,,,
1994,United States,Alfred G. Gilman,Medicine,,,,,,,,
1993,United States,Phillip A. Sharp,Medicine,,,,,,,,
1992,United States,Edwin G. Krebs,Medicine,,,,,,,,
1990,United States,Joseph E. Murray,Medicine,,,,,,,,
1990,United States,E. Donnall Thomas,Medicine,,,,,,,,
1989,United States,J. Michael Bishop,Medicine,,,,,,,,
1989,United States,Harold E. Varmus,Medicine,,,,,,,,
1988,United States,Gertrude B. Elion,Medicine,,,,,,,,
1988,United States,George H. Hitchings,Medicine,,,,,,,,
1986,United States,Stanley Cohen,Medicine,,,,,,,,
1985,United States,Michael S. Brown,Medicine,,,,,,,,
1985,United States,Joseph L. Goldstein,Medicine,,,,,,,,
1983,United States,Barbara McClintock,Medicine,,,,,,,,
1981,United States,Roger W. Sperry,Medicine,,,,,,,,
1981,United States,David H. Hubel,Medicine,,,,,,,,
1980,United States,Baruj Benacerraf,Medicine,,,,,,,,
1980,United States,George D. Snell,Medicine,,,,,,,,
1979,United States,Allan M. Cormack,Medicine,,,,,,,,
1978,United States,Daniel Nathans,Medicine,,,,,,,,
1978,United States,Hamilton O. Smith,Medicine,,,,,,,,
1977,United States,Roger Guillemin,Medicine,,,,,,,,
1977,United States,Rosalyn Yalow,Medicine,,,,,,,,
1977,United States,Andrew V. Schally,Medicine,,,,,,,,
1976,United States,D. Carleton Gajdusek,Medicine,,,,,,,,
1976,United States,Baruch S. Blumberg,Medicine,,,,,,,,
1975,United States,Renato Dulbecco,Medicine,,,,,,,,
1975,United States,David Baltimore,Medicine,,,,,,,,
1975,United States,Howard M. Temin,Medicine,,,,,,,,
1974,United States,George E. Palade,Medicine,,,,,,,,
1972,United States,Gerald M. Edelman,Medicine,,,,,,,,
1971,United States,"Earl W. Sutherland, Jr.",Medicine,,,,,,,,
1970,United States,Julius Axelrod,Medicine,,,,,,,,
1969,United States,Max Delbr»ck,Medicine,,,,,,,,
1969,United States,Alfred D. Hershey,Medicine,,,,,,,,
1969,United States,Salvador E. Luria,Medicine,,,,,,,,
1968,United States,Robert W. Holley,Medicine,,,,,,,,
1968,United States,Marshall W. Nirenberg,Medicine,,,,,,,,
1968,United States,H. Gobind Khorana,Medicine,,,,,,,,
1967,United States,George Wald,Medicine,,,,,,,,
1967,United States,Haldan K. Hartline,Medicine,,,,,,,,
1966,United States,Peyton Rous,Medicine,,,,,,,,
1966,United States,Charles B. Huggins,Medicine,,,,,,,,
1964,United States,Konrad Bloch,Medicine,,,,,,,,
1962,United States,James Watson,Medicine,,,,,,,,
1961,United States,Georg von B_k_sy,Medicine,,,,,,,,
1959,United States,Severo Ochoa,Medicine,,,,,,,,
1959,United States,Arthur Kornberg,Medicine,,,,,,,,
1958,United States,George Beadle,Medicine,,,,,,,,
1958,United States,Edward Tatum,Medicine,,,,,,,,
1958,United States,Joshua Lederberg,Medicine,,,,,,,,
1956,United States,Dickinson W. Richards,Medicine,,,,,,,,
1956,United States,Andr_ F. Cournand,Medicine,,,,,,,,
1954,United States,Thomas H. Weller,Medicine,,,,,,,,
1954,United States,John F. Enders,Medicine,,,,,,,,
1954,United States,Frederick C. Robbins,Medicine,,,,,,,,
1953,United States,Fritz Lipmann,Medicine,,,,,,,,
1952,United States,Selman A. Waksman,Medicine,,,,,,,,
1950,United States,Philip S. Hench,Medicine,,,,,,,,
1950,United States,Edward C. Kendall,Medicine,,,,,,,,
1947,United States,Gerty Cori,Medicine,,,,,,,,
1947,United States,Carl Cori,Medicine,,,,,,,,
1946,United States,Hermann J. Muller,Medicine,,,,,,,,
1944,United States,Herbert S. Gasser,Medicine,,,,,,,,
1944,United States,Joseph Erlanger,Medicine,,,,,,,,
1943,United States,Edward A. Doisy,Medicine,,,,,,,,
1934,United States,George R. Minot,Medicine,,,,,,,,
1934,United States,William P. Murphy,Medicine,,,,,,,,
1934,United States,George H. Whipple,Medicine,,,,,,,,
1933,United States,Thomas H. Morgan,Medicine,,,,,,,,
2009,United States,Martti Ahtisaari,Peace,,,,,,,,
2007,United States,Intergovernmental Panel on Climate Change (IPCC) ,Peace,,,,,,,,
2002,United States,Kofi Annan,Peace,,,,,,,,
2001,United States,Kim Dae-jung,Peace,,,,,,,,
1997,United States,International Campaign to Ban Landmines ,Peace,,,,,,,,
1997,United States,Carlos Filipe Ximenes Belo,Peace,,,,,,,,
1988,United States,Oscar Arias S_nchez,Peace,,,,,,,,
1986,United States,International Physicians for the Prevention of Nuclear War ,Peace,,,,,,,,
1985,United States,Desmond Tutu,Peace,,,,,,,,
1973,United States,Le Duc Tho,Peace,,,,,,,,
1970,United States,International Labour Organization ,Peace,,,,,,,,
1965,United States,Martin Luther King,Peace,,,,,,,,
1964,United States,International Committee of the Red Cross ,Peace,,,,,,,,
1962,United States,Dag Hammarskj_ld,Peace,,,,,,,,
1953,United States,Albert Schweitzer,Peace,,,,,,,,
1950,United States,Lord Boyd Orr,Peace,,,,,,,,
1947,United States,Emily Greene Balch,Peace,,,,,,,,
1946,United States,John R. Mott,Peace,,,,,,,,
1946,United States,Cordell Hull,Peace,,,,,,,,
1945,United States,International Committee of the Red Cross ,Peace,,,,,,,,
1931,United States,Nathan S_derblom,Peace,,,,,,,,
1931,United States,Nicholas Murray Butler,Peace,,,,,,,,
1929,United States,Ferdinand Buisson,Peace,,,,,,,,
1925,United States,Fridtjof Nansen,Peace,,,,,,,,
1919,United States,International Committee of the Red Cross ,Peace,,,,,,,,
1912,United States,Tobias Asser,Peace,,,,,,,,
1906,United States,Bertha von Suttner,Peace,,,,,,,,
2012,United States,David J. Wineland,Physics,,,,,,,,
2011,United States,Brian P. Schmidt,Physics,,,,,,,,
2011,United States,Adam G. Riess,Physics,,,,,,,,
2011,United States,Saul Perlmutter,Physics,,,,,,,,
2009,United States,George E. Smith,Physics,,,,,,,,
2008,United States,Yoichiro Nambu,Physics,,,,,,,,
2006,United States,John C. Mather,Physics,,,,,,,,
2006,United States,George F. Smoot,Physics,,,,,,,,
2005,United States,Roy J. Glauber,Physics,,,,,,,,
2005,United States,John L. Hall,Physics,,,,,,,,
2004,United States,H. David Politzer,Physics,,,,,,,,
2004,United States,Frank Wilczek,Physics,,,,,,,,
2004,United States,David J. Gross,Physics,,,,,,,,
2003,United States,Alexei A. Abrikosov,Physics,,,,,,,,
2002,United States,Riccardo Giacconi,Physics,,,,,,,,
2002,United States,Raymond Davis Jr.,Physics,,,,,,,,
2001,United States,Eric A. Cornell,Physics,,,,,,,,
2001,United States,Carl E. Wieman,Physics,,,,,,,,
2000,United States,Jack S. Kilby,Physics,,,,,,,,
1998,United States,Daniel C. Tsui,Physics,,,,,,,,
1998,United States,Robert B. Laughlin,Physics,,,,,,,,
1997,United States,William D. Phillips,Physics,,,,,,,,
1997,United States,Steven Chu,Physics,,,,,,,,
1996,United States,David M. Lee,Physics,,,,,,,,
1996,United States,Robert C. Richardson,Physics,,,,,,,,
1996,United States,Douglas D. Osheroff,Physics,,,,,,,,
1995,United States,Martin L. Perl,Physics,,,,,,,,
1995,United States,Frederick Reines,Physics,,,,,,,,
1994,United States,Clifford G. Shull,Physics,,,,,,,,
1993,United States,Russell A. Hulse,Physics,,,,,,,,
1993,United States,Joseph H. Taylor Jr.,Physics,,,,,,,,
1990,United States,Jerome I. Friedman,Physics,,,,,,,,
1990,United States,Henry W. Kendall,Physics,,,,,,,,
1989,United States,Norman F. Ramsey,Physics,,,,,,,,
1989,United States,Hans G. Dehmelt,Physics,,,,,,,,
1988,United States,Jack Steinberger,Physics,,,,,,,,
1988,United States,Melvin Schwartz,Physics,,,,,,,,
1988,United States,Leon M. Lederman,Physics,,,,,,,,
1983,United States,William A. Fowler,Physics,,,,,,,,
1983,United States,Subramanyan Chandrasekhar,Physics,,,,,,,,
1982,United States,Kenneth G. Wilson,Physics,,,,,,,,
1981,United States,Nicolaas Bloembergen,Physics,,,,,,,,
1981,United States,Arthur L. Schawlow,Physics,,,,,,,,
1980,United States,Val Fitch,Physics,,,,,,,,
1980,United States,James Cronin,Physics,,,,,,,,
1979,United States,Steven Weinberg,Physics,,,,,,,,
1979,United States,Sheldon Glashow,Physics,,,,,,,,
1978,United States,Arno Penzias,Physics,,,,,,,,
1978,United States,Robert Woodrow Wilson,Physics,,,,,,,,
1977,United States,Philip W. Anderson,Physics,,,,,,,,
1977,United States,John H. van Vleck,Physics,,,,,,,,
1976,United States,Samuel C.C. Ting,Physics,,,,,,,,
1976,United States,Burton Richter,Physics,,,,,,,,
1975,United States,James Rainwater,Physics,,,,,,,,
1973,United States,Ivar Giaever,Physics,,,,,,,,
1972,United States,Leon N. Cooper,Physics,,,,,,,,
1972,United States,John Bardeen,Physics,,,,,,,,
1972,United States,Robert Schrieffer,Physics,,,,,,,,
1969,United States,Murray Gell-Mann,Physics,,,,,,,,
1968,United States,Luis Alvarez,Physics,,,,,,,,
1967,United States,Hans Bethe,Physics,,,,,,,,
1965,United States,Richard P. Feynman,Physics,,,,,,,,
1965,United States,Julian Schwinger,Physics,,,,,,,,
1964,United States,Charles H. Townes,Physics,,,,,,,,
1963,United States,Eugene Wigner,Physics,,,,,,,,
1963,United States,Maria Goeppert-Mayer,Physics,,,,,,,,
1961,United States,Robert Hofstadter,Physics,,,,,,,,
1960,United States,Donald A. Glaser,Physics,,,,,,,,
1959,United States,Owen Chamberlain,Physics,,,,,,,,
1959,United States,Emilio Segrè,Physics,,,,,,,,
1956,United States,Walter H. Brattain,Physics,,,,,,,,
1956,United States,William B. Shockley,Physics,,,,,,,,
1956,United States,John Bardeen,Physics,,,,,,,,
1955,United States,Polykarp Kusch,Physics,,,,,,,,
1955,United States,Willis E. Lamb,Physics,,,,,,,,
1952,United States,E. M. Purcell,Physics,,,,,,,,
1952,United States,Felix Bloch,Physics,,,,,,,,
1946,United States,Percy W. Bridgman,Physics,,,,,,,,
1944,United States,Isidor Isaac Rabi,Physics,,,,,,,,
1943,United States,Otto Stern,Physics,,,,,,,,
1939,United States,Ernest Lawrence,Physics,,,,,,,,
1937,United States,Clinton Davisson,Physics,,,,,,,,
1936,United States,Carl D. Anderson,Physics,,,,,,,,
1927,United States,Arthur H. Compton,Physics,,,,,,,,
1923,United States,Robert A. Millikan,Physics,,,,,,,,
1907,United States,Albert A. Michelson,Physics,,,,,,,,
1973,Vietnam,Willy Brandt,Peace,,,,,,,,
2011,Yemen,Liu Xiaobo,Peace,,,,,,,,
1961,Yugoslavia,Ivo Andric,Literature,,,,,,,,
